республика,фио,пол,год рождения,был срок до,два срока до,партия,год кампании,религия,национальность ,национальнось региона,избран,,путинская рука
Татарстан,Иван Дмитриевич Грачёв,М,1952,0,0,Справедливая Россия,2001,0,0,татары,0,,
Татарстан,Руста́м Нургали́евич Минниха́нов,М,1957,0,0,Единая Россия,2010,1,1,татары,1,,1
Татарстан,Руста́м Нургали́евич Минниха́нов,М,1957,1,0,Единая Россия,2015,1,1,татары,1,,1
Татарстан,Рушания Бильгильдеева,Ж,1954,0,0,Справедливая Россия,2015,1,1,татары,0,,
Татарстан,Хафиз Миргалимов,М,1964,0,0,КПРФ,2015,1,1,татары,0,,
Татарстан,Руста́м Нургали́евич Минниха́нов,М,1957,1,1,Единая Россия,2020,1,1,татары,1,,
Татарстан,Валиев Альфред Ракибович,М,1965,0,0,Коммунисты России,2020,1,1,татары,0,,
Татарстан,Коробченко Олег Владимирович,М,1977,0,0,Патрия Роста,2020,0,0,татары,0,,
Татарстан,Сурчилов Владимир Валерьевич,М,1979,0,0,ЛДПР,2020,0,0,татары,0,,
Тыва,Шериг-о́ол Дизижи́кович О́оржак,М,1942,0,0,0,1993,1,1,тувинцы,1,,
Тыва,Шериг-о́ол Дизижи́кович О́оржак,М,1942,1,0,0,1997,1,1,тувинцы,1,,
Тыва,Каадыр-оол Алексеевич Бичелдей ,М,1950,0,0,0,1997,1,1,тувинцы,0,,
Тыва,Аракчаа Кара-Кыс Донгаковна,Ж,1950,0,0,Единая Россия,1997,1,1,тувинцы,0,,
Тыва,Шолба́н Вале́рьевич Кара-о́ол,М,1966,0,0,Единая Россия,2007,1,1,тувинцы,1,,1
Тыва,Шолба́н Вале́рьевич Кара-о́ол,М,1966,1,0,Единая Россия,2012,1,1,тувинцы,1,,1
Тыва,Даваа Кан-оол Тимурови,М,1963,0,0,Единая Россия,2012,1,1,тувинцы,0,,
Тыва,Шолба́н Вале́рьевич Кара-о́ол,М,1966,1,1,Единая Россия,2016,1,1,тувинцы,1,,
Тыва,Валерий Бичи-оол,М,1970,0,0,Справедливая Россия,2016,1,1,тувинцы,0,,
Тыва,Сергей Салчак,М,1963,0,0,КПРФ,2016,1,1,тувинцы,0,,
Адыгея,Джаримов Аслан Алиевич,М,1939,0,0,0,1992,1,0,адыги,1,,
Адыгея,Пшимаф Хакуз,М,1940,0,0,0,1992,0,1,адыги,0,,
Адыгея,Казбек Асланбечевич Цику,М,1935,0,0,КПРФ,1997,0,1,адыги,0,,
Адыгея,Джаримов Аслан Алиевич,М,1939,1,0,0,1997,1,0,адыги,1,,
Адыгея,Джаримов Аслан Алиевич,М,1939,1,1,0,2002,1,0,адыги,0,,
Адыгея,Совмен Хазрет Меджидович,М,1937,0,0,Единая Россия,2002,1,1,адыги,1,,
Адыгея,Коновалова Нина Николаевна,М,1947,0,0,Справедливая Россия,2002,0,0,адыги,0,,
Адыгея,Кумпилов Мурат Каральбиевич,М,1944,0,0,Единая Россия,2002,0,0,адыги,0,,
Адыгея,Тхакушинов Аслан Китович,М,1947,0,0,Единая Россия,2002,1,1,адыги,0,,
Адыгея,Тхакушинов Аслан Китович,М,1947,0,0,Единая Россия,2007,1,1,адыги,1,,
Адыгея,Тхакушинов Аслан Китович,М,1947,1,0,Единая Россия,2012,1,1,адыги,1,,
Адыгея,Кумпилов Мурат Каральбиевич,М,1973,0,0,Единая Россия,2017,1,1,адыги,1,,
Алтай,Валерий Иванович Чаптынов,М,1945,0,0,КПРФ,1990,0,1,алтайцы,1,,
Алтай,Валерий Иванович Чаптынов,М,1945,1,0,КПРФ,1994,0,1,алтайцы,1,,
Алтай,Владилен Владимирович Волков,М,1939,0,0,0,1997,0,0,алтайцы,1,,
Алтай,Семён Иванович Зуба́кин,М,1952,0,0,ДВР,1997,0,0,алтайцы,1,,
Алтай,Юрий Васильевич Антарадонов,М,1949,0,0,Русская СП,1997,0,1,алтайцы,0,,
Алтай,Виктор Васильевич Ромашкин,М,1959,0,0,КПРФ,1997,0,0,алтайцы,0,,
Алтай,Владимир Иванович Петров,М,1942,0,0,0,1997,0,0,алтайцы,0,,
Алтай,Владилен Владимирович Волков,М,1939,1,0,0,1997,0,0,алтайцы,0,,
Алтай,Бронтой Янгович Бедюров,М,1947,0,0,0,1997,0,1,алтайцы,0,,
Алтай,Михаи́л Ива́нович Лапши́н,М,1952,0,0,КПРФ,2001,0,1,алтайцы,1,,
Алтай,Семён Иванович Зуба́кин,М,1952,1,0,ДВР,2001,0,0,алтайцы,0,,
Алтай,Владимир Иванович Петров,М,1942,0,0,0,2001,0,0,алтайцы,0,,
Алтай,Виктор Васильевич Ромашкин,М,1959,0,0,КПРФ,2001,0,0,алтайцы,0,,
Алтай,Алекса́ндр Васи́льевич Бе́рдников,М,1953,0,0,Единая Россия,2001,1,0,алтайцы,0,,
Алтай,Амургушев Владимир Константинович,М,1946,0,0,0,2001,0,1,алтайцы,0,,
Алтай,Думнова Нина Геннадьевна,Ж,1958,0,0,Яблоко,2001,0,1,алтайцы,0,,
Алтай,Куликов Владимир Васильевич,М,1970,0,0,0,2001,0,0,алтайцы,0,,
Алтай,Алекса́ндр Васи́льевич Бе́рдников,М,1953,0,0,Единая Россия,2005,1,0,алтайцы,1,,
Алтай,Алекса́ндр Васи́льевич Бе́рдников,М,1953,1,0,Единая Россия,2009,1,0,алтайцы,1,,
Алтай,Алекса́ндр Васи́льевич Бе́рдников,М,1953,1,1,Единая Россия,2014,1,0,алтайцы,1,,1
Алтай,Семенов Владимир Владиславович,М,1967,0,0,ЛДПР,2014,0,1,алтайцы,0,,
Алтай,Владимир Иванович Петров,М,1942,0,0,ГС,2014,0,0,алтайцы,0,,
Алтай,Виктор Васильевич Ромашкин,М,1959,0,0,КПРФ,2014,0,0,алтайцы,0,,
Алтай,Олег Леонидович Хорохордин,М,1972,0,0,Единая Россия,2019,0,1,алтайцы,1,,
Алтай,Виктор Васильевич Ромашкин,М,1959,0,0,КПРФ,2019,0,0,алтайцы,0,,
Алтай,Софронов Дмитрий Валерьевич,М,1987,0,0,ЛДПР,2019,0,1,алтайцы,0,,
Кабарди́но-Балка́рия,Вале́рий Мухаме́дович Ко́ков,М,1941,0,0,0,1991,1,1,кабардинцы,1,,
Кабарди́но-Балка́рия,Хараев Феликс Ахмедович,М,1938,0,0,0,1991,0,1,кабардинцы,0,,
