республика,фио,пол,год рождения,был срок до,два срока до,партия,год кампании,религия,национальность ,национальнось региона,избран,,путинская рука
Марий Эл,Владислав Максимович Зотин,М,1942,0,0,0,1991,0,1,марийцы,1,,
Марий Эл,Зотин Владислав Максимович,М,1942,1,0,0,1996,0,1,марийцы,1,,
Марий Эл,Кислицын Вячеслав Александрович.,М,1948,0,0,КПРФ,1996,0,0,марийцы,0,,
Марий Эл,Максимов Геннадий Васильевич.,М,1952,0,0,0,1996,0,1,марийцы,0,,
Марий Эл,Маркелов Леонид Игоревич,М,1963,0,0,0,1996,0,0,марийцы,0,,
Марий Эл,Попов Анатолий Геннадьевич,М,1948,0,0,0,1996,0,1,марийцы,0,,
Марий Эл,Вячеслав Александрович Кислицын,М,1948,0,0,КПРФ,1997,0,0,марийцы,1,,
Марий Эл,Леони́д И́горевич Марке́лов,М,1963,0,0,ЛДПР,2000,0,0,марийцы,1,,
Марий Эл,Кислицын Вячеслав Александрович.,М,1948,1,0,КПРФ,2000,0,0,марийцы,0,,
Марий Эл,Леони́д И́горевич Марке́лов,М,1963,1,0,ЛДПР,2004,0,0,марийцы,1,,
Марий Эл,Долгов Михаил Алексеевич,М,1965,0,0,0,2004,0,0,марийцы,0,,
Марий Эл,Леони́д И́горевич Марке́лов,М,1963,1,1,Единая Россия,2009,0,0,марийцы,1,,1
Марий Эл,Леони́д И́горевич Марке́лов,М,1963,1,1,Единая Россия,2015,0,0,марийцы,1,,1
Марий Эл,Серге́й Павли́нович Мама́ев,М,1958,0,0,КПРФ,2015,0,0,марийцы,0,,
Марий Эл,Кирилл Игоревич Черкасов,М,1963,0,0,ЛДПР,2015,0,0,марийцы,0,,
Марий Эл,Александр Александрович Евстифеев,М,1958,0,0,Единая Россия,2017,0,0,марийцы,1,,
Марий Эл,Федоров Альберт Иванович,М,1975,0,0,ЛДПР,2017,0,1,марийцы,0,,
Марий Эл,Глущенко Наталия Владимировна,Ж,1970,0,0,Справедливая Россия,2017,0,0,марийцы,0,,
