республика,фио,пол,год рождения,был срок до,два срока до,партия,год кампании,религия,национальность ,национальнось региона,избран,,путинская рука
Коми,Спиридонов Юрий Алексеевич,М,1938,0,0,Единая Россия,1994,0,0,коми,1,,
Коми,Худяев Вячеслав Иванович,М,1945,0,0,0,1994,0,0,коми,0,,
Коми,Спиридонов Юрий Алексеевич,М,1938,1,0,Единая Россия,1997,0,0,коми,1,,
Коми,  Рита Васильевна Чистоходова ,Ж,1939,0,0,КПРФ,1997,0,0,коми,0,,
Коми,Василий Павлович Кузнецов,М,1945,0,0,0,1997,0,0,коми,0,,
Коми,Спиридонов Юрий Алексеевич,М,1938,1,1,Единая Россия,2001,0,0,коми,0,,
Коми,Влади́мир Алекса́ндрович То́рлопов,М,1949,0,0,Единая Россия,2001,0,1,коми,1,,
Коми,Влади́мир Алекса́ндрович То́рлопов,М,1949,1,0,Единая Россия,2005,0,1,коми,1,,1
Коми,Вячеслав Михайлович Гайзер,М,1966,0,0,Единая Россия,2010,0,1,коми,1,,1
Коми,Вячеслав Михайлович Гайзер,М,1966,1,0,Единая Россия,2014,0,1,коми,1,,
Коми,Андрей Анатольевич Андреев,М,1976,0,0,КПРФ,2014,0,0,коми,0,,
Коми,Михаил Брагин Анатольевич,М,1967,0,0,ЛДПР,2014,0,0,коми,0,,
Коми,Серге́й Анато́льевич Га́пликов,М,1970,0,0,Единая Россия,2015,0,0,коми,1,,1
Коми,Филипченко Иван Сергеевич,М,1970,0,0,ЛДПР,2015,0,0,коми,0,,
Коми,Владимир Викторович Уйба,М,1958,0,0,Единая Россия,2020,0,0,коми,1,,1
Коми,"Бетехтин Виктор Васильевич
",М,1990,0,0,Зеленая альтернатива,2020,0,0,коми,0,,
