республика,фио,пол,год рождения,был срок до,два срока до,партия,год кампании,религия,национальность ,национальнось региона,избран,,путинская рука
Татарстан,Минтиме́р Шари́пович Шайми́ев,М,1937,0,0,Единая Россия,1991,1,1,татары,1,,
Татарстан,Минтиме́р Шари́пович Шайми́ев,М,1937,1,0,Единая Россия,1996,1,1,татары,1,,
Татарстан,Минтиме́р Шари́пович Шайми́ев,М,1937,1,1,Единая Россия,2001,1,1,татары,1,,
Татарстан,Серге́й Петро́вич Шашу́рин,М,1957,0,0,0,2001,0,1,татары,0,,
Татарстан,Иван Дмитриевич Грачёв,М,1952,0,0,Справедливая Россия,2001,0,0,татары,0,,
Татарстан,Руста́м Нургали́евич Минниха́нов,М,1957,0,0,Единая Россия,2010,1,1,татары,1,,1
Татарстан,Руста́м Нургали́евич Минниха́нов,М,1957,1,0,Единая Россия,2015,1,1,татары,1,,1
Татарстан,Рушания Бильгильдеева,Ж,1954,0,0,Справедливая Россия,2015,1,1,татары,0,,
Татарстан,Хафиз Миргалимов,М,1964,0,0,КПРФ,2015,1,1,татары,0,,
Татарстан,Руста́м Нургали́евич Минниха́нов,М,1957,1,1,Единая Россия,2020,1,1,татары,1,,
Татарстан,Валиев Альфред Ракибович,М,1965,0,0,Коммунисты России,2020,1,1,татары,0,,
Татарстан,Коробченко Олег Владимирович,М,1977,0,0,Патрия Роста,2020,0,0,татары,0,,
Татарстан,Сурчилов Владимир Валерьевич,М,1979,0,0,ЛДПР,2020,0,0,татары,0,,
